r,alpha,alpha_over_r,test_micro_f1,test_macro_f1,test_hamming_loss,best_val_loss,best_epoch,train_minutes
8,8,1.0,0.6575126262626263,0.6247464051501588,0.10207921723586415,0.2555542290210724,10,25.65
8,16,2.0,0.6574913981857992,0.6249709153934452,0.1030200395145357,0.25042054057121277,8,7.32
16,16,1.0,0.6656225528582616,0.6389565646511627,0.10043277824818891,0.25097110867500305,9,8.16
16,32,2.0,0.6768849667131135,0.6498238849084972,0.09817480477937718,0.24690645933151245,10,9.17
32,32,1.0,0.6715102797959499,0.6443859784267502,0.09996236710885313,0.24629995226860046,9,8.24
32,64,2.0,0.6835871404399323,0.654888692018926,0.09676357136136984,0.24387504160404205,10,9.15
