m,epoch,train_loss,val_loss
256,1,0.431375,0.297871
256,2,0.274956,0.256479
256,3,0.2468,0.246837
256,4,0.233811,0.242699
256,5,0.222144,0.241838
256,6,0.213511,0.239524
256,7,0.205556,0.238369
256,8,0.197563,0.239921
256,9,0.195656,0.240263
