r,alpha,alpha_over_r,annotator_dim,test_micro_f1,test_macro_f1,test_hamming_loss,best_val_loss,best_epoch,train_minutes
8,8,1.0,32,0.638676844783715,0.6012272129710797,0.1068774108570891,0.26741716265678406,10,9.56
8,16,2.0,32,0.6292815039031384,0.5806214464683714,0.10946467212343589,0.2677439749240875,10,9.39
16,16,1.0,32,0.6429246769618657,0.603228513108117,0.10659516417348763,0.25968676805496216,10,9.46
16,32,2.0,32,0.6546593578700078,0.6212471912114829,0.10372565622353937,0.2543809711933136,10,9.48
32,32,1.0,32,0.6401137980085349,0.6024108330844274,0.10711261642675698,0.259682834148407,10,11.65
32,64,2.0,32,0.6526936811054184,0.6187372916794341,0.10523097186941387,0.254756361246109,9,13.95
