m,test_micro_f1,test_macro_f1,test_hamming_loss,best_val_loss,best_epoch,train_minutes
16,0.6554595443833464,0.6227331594256792,0.10316116285633643,0.2546852231025696,10,9.59
32,0.6682177757096324,0.6383317579511824,0.10062094270392323,0.24940326809883118,10,9.47
64,0.6830165542611895,0.6555166912978844,0.0972810236146392,0.2441856861114502,9,9.12
128,0.6944737238367715,0.6688473669929578,0.09544642017122966,0.24156679213047028,9,8.98
256,0.6985109833407047,0.6757916837107997,0.0961990779941669,0.24349048733711243,5,9.11
